
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:111            0.0.0.0:0              LISTENING       3120
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       8
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5432           0.0.0.0:0              LISTENING       5180
  TCP    0.0.0.0:5985           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:47001          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       700
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1264
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       1784
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       2616
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING       3780
  TCP    0.0.0.0:49671          0.0.0.0:0              LISTENING       2368
  TCP    0.0.0.0:49677          0.0.0.0:0              LISTENING       864
  TCP    0.0.0.0:49680          0.0.0.0:0              LISTENING       844
  TCP    0.0.0.0:59440          0.0.0.0:0              LISTENING       3844
  TCP    0.0.0.0:63299          0.0.0.0:0              LISTENING       1124
  TCP    100.78.161.31:63877    0.0.0.0:0              LISTENING       5636
  TCP    127.0.0.1:4709         0.0.0.0:0              LISTENING       3844
  TCP    127.0.0.1:6379         0.0.0.0:0              LISTENING       2256
  TCP    127.0.0.1:7890         0.0.0.0:0              LISTENING       24868
  TCP    127.0.0.1:7890         127.0.0.1:52018        ESTABLISHED     24868
  TCP    127.0.0.1:7890         127.0.0.1:52269        ESTABLISHED     24868
  TCP    127.0.0.1:7890         127.0.0.1:53061        ESTABLISHED     24868
  TCP    127.0.0.1:7890         127.0.0.1:53085        ESTABLISHED     24868
  TCP    127.0.0.1:7890         127.0.0.1:53561        ESTABLISHED     24868
  TCP    127.0.0.1:7890         127.0.0.1:53775        ESTABLISHED     24868
  TCP    127.0.0.1:7890         127.0.0.1:53790        ESTABLISHED     24868
  TCP    127.0.0.1:7890         127.0.0.1:53824        ESTABLISHED     24868
  TCP    127.0.0.1:7890         127.0.0.1:53826        TIME_WAIT       0
  TCP    127.0.0.1:7890         127.0.0.1:53864        TIME_WAIT       0
  TCP    127.0.0.1:7890         127.0.0.1:53872        ESTABLISHED     24868
  TCP    127.0.0.1:7890         127.0.0.1:53887        ESTABLISHED     24868
  TCP    127.0.0.1:7890         127.0.0.1:53888        TIME_WAIT       0
  TCP    127.0.0.1:7890         127.0.0.1:53891        ESTABLISHED     24868
  TCP    127.0.0.1:7890         127.0.0.1:53893        ESTABLISHED     24868
  TCP    127.0.0.1:7890         127.0.0.1:53895        ESTABLISHED     24868
  TCP    127.0.0.1:7890         127.0.0.1:53906        TIME_WAIT       0
  TCP    127.0.0.1:7890         127.0.0.1:53909        ESTABLISHED     24868
  TCP    127.0.0.1:7890         127.0.0.1:53911        ESTABLISHED     24868
  TCP    127.0.0.1:7890         127.0.0.1:53926        ESTABLISHED     24868
  TCP    127.0.0.1:7890         127.0.0.1:62120        ESTABLISHED     24868
  TCP    127.0.0.1:8000         0.0.0.0:0              LISTENING       12572
  TCP    127.0.0.1:8000         127.0.0.1:53853        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:53884        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:53897        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:53898        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:53908        FIN_WAIT_2      12572
  TCP    127.0.0.1:9182         0.0.0.0:0              LISTENING       3008
  TCP    127.0.0.1:10000        0.0.0.0:0              LISTENING       7608
  TCP    127.0.0.1:17788        0.0.0.0:0              LISTENING       16332
  TCP    127.0.0.1:36510        0.0.0.0:0              LISTENING       17924
  TCP    127.0.0.1:36510        127.0.0.1:49339        ESTABLISHED     17924
  TCP    127.0.0.1:36510        127.0.0.1:53903        TIME_WAIT       0
  TCP    127.0.0.1:37510        0.0.0.0:0              LISTENING       17924
  TCP    127.0.0.1:38405        0.0.0.0:0              LISTENING       17924
  TCP    127.0.0.1:49339        127.0.0.1:36510        ESTABLISHED     24680
  TCP    127.0.0.1:51000        0.0.0.0:0              LISTENING       25844
  TCP    127.0.0.1:51000        127.0.0.1:52015        ESTABLISHED     25844
  TCP    127.0.0.1:51809        127.0.0.1:63522        ESTABLISHED     23884
  TCP    127.0.0.1:51810        127.0.0.1:63522        ESTABLISHED     6936
  TCP    127.0.0.1:52015        127.0.0.1:51000        ESTABLISHED     25864
  TCP    127.0.0.1:52018        127.0.0.1:7890         ESTABLISHED     7780
  TCP    127.0.0.1:52139        127.0.0.1:63522        ESTABLISHED     6936
  TCP    127.0.0.1:52166        127.0.0.1:63522        ESTABLISHED     6936
  TCP    127.0.0.1:52170        0.0.0.0:0              LISTENING       21640
  TCP    127.0.0.1:52170        127.0.0.1:52194        ESTABLISHED     21640
  TCP    127.0.0.1:52194        127.0.0.1:52170        ESTABLISHED     19740
  TCP    127.0.0.1:52215        0.0.0.0:0              LISTENING       4748
  TCP    127.0.0.1:52269        127.0.0.1:7890         ESTABLISHED     7780
  TCP    127.0.0.1:53061        127.0.0.1:7890         ESTABLISHED     22148
  TCP    127.0.0.1:53085        127.0.0.1:7890         ESTABLISHED     22148
  TCP    127.0.0.1:53207        127.0.0.1:53208        ESTABLISHED     12572
  TCP    127.0.0.1:53208        127.0.0.1:53207        ESTABLISHED     12572
  TCP    127.0.0.1:53561        127.0.0.1:7890         ESTABLISHED     7780
  TCP    127.0.0.1:53615        127.0.0.1:7890         TIME_WAIT       0
  TCP    127.0.0.1:53775        127.0.0.1:7890         ESTABLISHED     22148
  TCP    127.0.0.1:53790        127.0.0.1:7890         ESTABLISHED     22148
  TCP    127.0.0.1:53824        127.0.0.1:7890         ESTABLISHED     12572
  TCP    127.0.0.1:53826        127.0.0.1:7890         TIME_WAIT       0
  TCP    127.0.0.1:53868        127.0.0.1:7890         TIME_WAIT       0
  TCP    127.0.0.1:53872        127.0.0.1:7890         ESTABLISHED     19712
  TCP    127.0.0.1:53877        127.0.0.1:7890         TIME_WAIT       0
  TCP    127.0.0.1:53880        127.0.0.1:7890         TIME_WAIT       0
  TCP    127.0.0.1:53885        127.0.0.1:7890         TIME_WAIT       0
  TCP    127.0.0.1:53887        127.0.0.1:7890         ESTABLISHED     22148
  TCP    127.0.0.1:53891        127.0.0.1:7890         ESTABLISHED     22148
  TCP    127.0.0.1:53893        127.0.0.1:7890         ESTABLISHED     22148
  TCP    127.0.0.1:53895        127.0.0.1:7890         ESTABLISHED     7780
  TCP    127.0.0.1:53899        127.0.0.1:7890         TIME_WAIT       0
  TCP    127.0.0.1:53901        127.0.0.1:7890         TIME_WAIT       0
  TCP    127.0.0.1:53904        127.0.0.1:7890         TIME_WAIT       0
  TCP    127.0.0.1:53908        127.0.0.1:8000         CLOSE_WAIT      22148
  TCP    127.0.0.1:53909        127.0.0.1:7890         ESTABLISHED     7780
  TCP    127.0.0.1:53911        127.0.0.1:7890         ESTABLISHED     7780
  TCP    127.0.0.1:53922        127.0.0.1:7890         TIME_WAIT       0
  TCP    127.0.0.1:53924        127.0.0.1:7890         TIME_WAIT       0
  TCP    127.0.0.1:53926        127.0.0.1:7890         ESTABLISHED     7780
  TCP    127.0.0.1:53928        127.0.0.1:7890         TIME_WAIT       0
  TCP    127.0.0.1:55075        0.0.0.0:0              LISTENING       16864
  TCP    127.0.0.1:62120        127.0.0.1:7890         ESTABLISHED     22148
  TCP    127.0.0.1:63521        0.0.0.0:0              LISTENING       23884
  TCP    127.0.0.1:63522        0.0.0.0:0              LISTENING       24868
  TCP    127.0.0.1:63522        127.0.0.1:51809        ESTABLISHED     24868
  TCP    127.0.0.1:63522        127.0.0.1:51810        ESTABLISHED     24868
  TCP    127.0.0.1:63522        127.0.0.1:52139        ESTABLISHED     24868
  TCP    127.0.0.1:63522        127.0.0.1:52166        ESTABLISHED     24868
  TCP    127.0.0.1:65231        0.0.0.0:0              LISTENING       24680
  TCP    172.16.6.188:139       0.0.0.0:0              LISTENING       4
  TCP    172.16.6.188:51413     172.16.6.150:22        ESTABLISHED     14288
  TCP    172.16.6.188:52019     180.112.45.178:443     ESTABLISHED     24868
  TCP    172.16.6.188:52270     180.112.50.70:443      ESTABLISHED     24868
  TCP    172.16.6.188:52422     117.93.230.29:443      ESTABLISHED     21640
  TCP    172.16.6.188:52695     101.126.24.53:443      CLOSE_WAIT      23372
  TCP    172.16.6.188:52859     61.147.216.55:443      CLOSE_WAIT      23372
  TCP    172.16.6.188:52860     39.107.192.243:443     CLOSE_WAIT      23372
  TCP    172.16.6.188:52902     115.190.45.115:443     CLOSE_WAIT      21340
  TCP    172.16.6.188:53062     58.221.74.12:443       ESTABLISHED     24868
  TCP    172.16.6.188:53086     183.47.113.158:443     ESTABLISHED     24868
  TCP    172.16.6.188:53165     101.126.24.87:443      CLOSE_WAIT      15768
  TCP    172.16.6.188:53356     61.147.216.57:443      CLOSE_WAIT      13064
  TCP    172.16.6.188:53382     39.107.192.243:443     CLOSE_WAIT      13064
  TCP    172.16.6.188:53415     123.57.223.58:443      CLOSE_WAIT      13064
  TCP    172.16.6.188:53423     218.92.226.154:443     CLOSE_WAIT      3844
  TCP    172.16.6.188:53501     115.190.210.86:443     CLOSE_WAIT      26988
  TCP    172.16.6.188:53562     121.228.130.71:443     ESTABLISHED     24868
  TCP    172.16.6.188:53616     220.181.174.34:443     TIME_WAIT       0
  TCP    172.16.6.188:53776     183.47.113.158:443     ESTABLISHED     24868
  TCP    172.16.6.188:53791     101.91.37.37:443       ESTABLISHED     24868
  TCP    172.16.6.188:53825     8.140.217.18:443       ESTABLISHED     24868
  TCP    172.16.6.188:53848     104.26.9.108:443       ESTABLISHED     24556
  TCP    172.16.6.188:53863     39.105.32.31:443       CLOSE_WAIT      3844
  TCP    172.16.6.188:53866     39.107.193.14:443      CLOSE_WAIT      3844
  TCP    172.16.6.188:53869     58.222.29.218:443      TIME_WAIT       0
  TCP    172.16.6.188:53873     125.39.152.170:43651   ESTABLISHED     24868
  TCP    172.16.6.188:53874     222.188.8.48:443       TIME_WAIT       0
  TCP    172.16.6.188:53875     58.222.29.218:443      TIME_WAIT       0
  TCP    172.16.6.188:53876     221.229.77.40:443      TIME_WAIT       0
  TCP    172.16.6.188:53878     58.222.29.213:443      TIME_WAIT       0
